index,Date,HomeTeamId,AwayTeamId,HTR,FTR
57,24/09/2023,64.0,563.0,D,H
58,24/09/2023,356.0,67.0,A,A
59,30/09/2023,58.0,397.0,H,H
60,30/09/2023,1044.0,57.0,A,A
61,30/09/2023,62.0,389.0,A,A
62,30/09/2023,66.0,354.0,A,A
63,30/09/2023,67.0,328.0,H,H
64,30/09/2023,563.0,356.0,H,H
65,30/09/2023,76.0,65.0,H,H
66,30/09/2023,73.0,64.0,D,H
67,01/10/2023,351.0,402.0,D,D
68,02/10/2023,63.0,61.0,A,A
69,03/10/2023,389.0,328.0,A,A
70,07/10/2023,389.0,73.0,D,A
71,07/10/2023,328.0,61.0,D,A
72,07/10/2023,62.0,1044.0,H,H
73,07/10/2023,63.0,356.0,D,H
74,07/10/2023,66.0,402.0,A,H
75,07/10/2023,354.0,351.0,D,D
76,08/10/2023,397.0,64.0,A,D
77,08/10/2023,563.0,67.0,H,D
78,08/10/2023,76.0,58.0,D,D
79,08/10/2023,57.0,65.0,D,H
80,21/10/2023,64.0,62.0,D,H
81,21/10/2023,1044.0,76.0,H,A
82,21/10/2023,402.0,328.0,H,H
83,21/10/2023,65.0,397.0,H,H
84,21/10/2023,67.0,354.0,H,H
85,21/10/2023,351.0,389.0,D,D
86,21/10/2023,61.0,57.0,H,D
87,21/10/2023,356.0,66.0,D,A
88,22/10/2023,58.0,563.0,H,H
89,23/10/2023,73.0,63.0,H,H
90,27/10/2023,354.0,73.0,D,A
91,28/10/2023,61.0,402.0,D,A
92,28/10/2023,57.0,356.0,H,H
93,28/10/2023,1044.0,328.0,D,H
94,28/10/2023,76.0,67.0,A,D
95,29/10/2023,563.0,62.0,D,A
96,29/10/2023,58.0,389.0,H,H
97,29/10/2023,397.0,63.0,H,D
98,29/10/2023,64.0,351.0,H,H
99,29/10/2023,66.0,65.0,A,A
100,04/11/2023,63.0,66.0,D,A
101,04/11/2023,402.0,563.0,A,H
102,04/11/2023,328.0,354.0,A,A
103,04/11/2023,62.0,397.0,H,D
104,04/11/2023,65.0,1044.0,H,H
105,04/11/2023,356.0,76.0,D,H
106,04/11/2023,67.0,57.0,D,H
107,05/11/2023,351.0,58.0,H,H
108,05/11/2023,389.0,64.0,D,D
109,06/11/2023,73.0,61.0,D,A
110,11/11/2023,76.0,73.0,A,H
111,11/11/2023,57.0,328.0,H,H
112,11/11/2023,354.0,62.0,D,A
113,11/11/2023,66.0,389.0,D,H
114,11/11/2023,1044.0,67.0,D,H
115,12/11/2023,58.0,63.0,H,H
116,12/11/2023,397.0,356.0,H,D
117,12/11/2023,64.0,402.0,H,H
118,12/11/2023,563.0,351.0,D,H
119,12/11/2023,61.0,65.0,D,D
120,25/11/2023,65.0,64.0,H,D
121,25/11/2023,328.0,563.0,D,A
122,25/11/2023,389.0,354.0,D,H
123,25/11/2023,67.0,61.0,D,H
124,25/11/2023,351.0,397.0,A,A
125,25/11/2023,356.0,1044.0,A,A
126,25/11/2023,402.0,57.0,D,A
127,26/11/2023,73.0,58.0,D,A
128,26/11/2023,62.0,66.0,A,A
129,27/11/2023,63.0,76.0,D,H
130,02/12/2023,57.0,76.0,H,H
131,02/12/2023,402.0,389.0,D,H
132,02/12/2023,328.0,356.0,H,H
133,02/12/2023,351.0,62.0,D,A
134,02/12/2023,67.0,66.0,D,H
135,03/12/2023,1044.0,58.0,D,D
136,03/12/2023,61.0,397.0,H,H
137,03/12/2023,64.0,63.0,D,H
138,03/12/2023,563.0,354.0,H,D
139,03/12/2023,65.0,73.0,H,D
140,05/12/2023,76.0,328.0,H,H
141,05/12/2023,389.0,57.0,A,A
142,06/12/2023,397.0,402.0,D,H
143,06/12/2023,354.0,1044.0,A,A
144,06/12/2023,63.0,351.0,H,H
145,06/12/2023,356.0,64.0,A,A
146,06/12/2023,58.0,65.0,D,H
147,06/12/2023,66.0,61.0,D,H
148,07/12/2023,62.0,67.0,D,H
149,07/12/2023,73.0,563.0,H,A
150,09/12/2023,354.0,64.0,D,A
151,09/12/2023,397.0,328.0,A,D
152,09/12/2023,66.0,1044.0,A,A
153,09/12/2023,356.0,402.0,H,H
154,09/12/2023,76.0,351.0,D,D
155,09/12/2023,58.0,57.0,H,H
156,10/12/2023,62.0,61.0,D,H
157,10/12/2023,63.0,563.0,H,H
158,10/12/2023,389.0,65.0,H,A
