,id,day,month,year,weekday,hour,minute,matchday,status,leagueId,leagueType,homeId,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt,h2hHomeWins,h2hHomeLosses,h2hAwayWins,h2hAwayLosses,h2hDraws,h2hAvgGoals,h2hMatches
0,285418,11,6,2021,5,19,0,1.0,FINISHED,2018,CUP,803,784,0.0,0.0,0.0,3.0,0.0,-2.0,2.0,0.0,0.0,6.0,2.0
1,285419,12,6,2021,6,13,0,1.0,FINISHED,2018,CUP,833,788,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
2,285420,16,6,2021,3,16,0,2.0,FINISHED,2018,CUP,803,833,0.0,1.0,0.0,2.0,1.0,-1.0,1.0,-1.0,1.0,6.0,3.0
3,285421,16,6,2021,3,19,0,2.0,FINISHED,2018,CUP,784,788,1.0,0.0,3.0,0.0,2.0,-1.0,1.0,-2.0,2.0,13.0,5.0
4,285422,20,6,2021,7,16,0,3.0,FINISHED,2018,CUP,784,833,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0
5,285423,20,6,2021,7,16,0,3.0,FINISHED,2018,CUP,788,803,2.0,0.0,3.0,1.0,1.0,-1.0,1.0,-1.0,0.0,7.0,2.0
6,285424,12,6,2021,6,18,30,1.0,FINISHED,2018,CUP,782,1976,0.0,0.0,0.0,1.0,2.0,-1.0,1.0,-2.0,0.0,6.0,3.0
7,285425,12,6,2021,6,19,0,1.0,FINISHED,2018,CUP,805,808,2.0,0.0,3.0,0.0,3.0,0.0,0.0,-3.0,0.0,9.0,3.0
8,285426,16,6,2021,3,13,0,2.0,FINISHED,2018,CUP,1976,808,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0
9,285427,17,6,2021,4,16,0,2.0,FINISHED,2018,CUP,782,805,1.0,0.0,1.0,2.0,1.0,-1.0,1.0,-1.0,0.0,8.0,2.0
10,285428,21,6,2021,1,19,0,3.0,FINISHED,2018,CUP,808,782,0.0,1.0,1.0,4.0,0.0,-1.0,1.0,0.0,0.0,5.0,1.0
11,285429,21,6,2021,1,19,0,3.0,FINISHED,2018,CUP,1976,805,0.0,0.0,0.0,2.0,0.0,-1.0,1.0,0.0,0.0,2.0,1.0
12,285430,13,6,2021,7,16,0,1.0,FINISHED,2018,CUP,816,1977,1.0,1.0,3.0,1.0,1.0,0.0,0.0,-1.0,0.0,4.0,1.0
13,285431,13,6,2021,7,19,0,1.0,FINISHED,2018,CUP,8601,790,0.0,0.0,3.0,2.0,1.0,0.0,0.0,-1.0,0.0,5.0,1.0
14,285432,17,6,2021,4,13,0,2.0,FINISHED,2018,CUP,790,1977,2.0,0.0,2.0,1.0,3.0,0.0,0.0,-3.0,0.0,10.0,3.0
15,285433,17,6,2021,4,19,0,2.0,FINISHED,2018,CUP,8601,816,1.0,0.0,2.0,0.0,2.0,0.0,0.0,-2.0,0.0,8.0,2.0
16,285434,21,6,2021,1,16,0,3.0,FINISHED,2018,CUP,1977,8601,0.0,1.0,0.0,3.0,0.0,-1.0,1.0,0.0,0.0,3.0,1.0
17,285435,21,6,2021,1,16,0,3.0,FINISHED,2018,CUP,790,816,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0
18,285436,13,6,2021,7,13,0,1.0,FINISHED,2018,CUP,770,799,0.0,0.0,1.0,0.0,2.0,-1.0,1.0,-2.0,0.0,10.0,3.0
19,285437,14,6,2021,1,13,0,1.0,FINISHED,2018,CUP,8873,798,0.0,1.0,0.0,2.0,0.0,-1.0,1.0,0.0,0.0,2.0,1.0
20,285438,18,6,2021,5,16,0,2.0,FINISHED,2018,CUP,799,798,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0
21,285439,18,6,2021,5,19,0,2.0,FINISHED,2018,CUP,770,8873,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,2.0,9.0,4.0
22,285440,22,6,2021,2,19,0,3.0,FINISHED,2018,CUP,799,8873,1.0,1.0,3.0,1.0,1.0,0.0,0.0,-1.0,0.0,4.0,1.0
23,285441,22,6,2021,2,19,0,3.0,FINISHED,2018,CUP,798,770,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0
24,285442,14,6,2021,1,16,0,1.0,FINISHED,2018,CUP,794,768,0.0,1.0,1.0,2.0,0.0,-1.0,1.0,0.0,0.0,3.0,1.0
25,285443,14,6,2021,1,19,0,1.0,FINISHED,2018,CUP,760,792,0.0,0.0,0.0,0.0,3.0,-1.0,1.0,-3.0,1.0,8.0,5.0
26,285444,18,6,2021,5,13,0,2.0,FINISHED,2018,CUP,792,768,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0
27,285446,23,6,2021,3,16,0,3.0,FINISHED,2018,CUP,768,760,0.0,2.0,0.0,5.0,0.0,-1.0,1.0,0.0,0.0,5.0,1.0
28,285447,23,6,2021,3,16,0,3.0,FINISHED,2018,CUP,792,794,1.0,0.0,3.0,2.0,1.0,-1.0,1.0,-1.0,0.0,6.0,2.0
29,285448,15,6,2021,2,16,0,1.0,FINISHED,2018,CUP,827,765,0.0,0.0,0.0,3.0,0.0,-4.0,4.0,0.0,1.0,17.0,5.0
30,285449,15,6,2021,2,19,0,1.0,FINISHED,2018,CUP,773,759,1.0,0.0,1.0,0.0,2.0,-3.0,3.0,-2.0,0.0,21.0,5.0
31,285450,19,6,2021,6,13,0,2.0,FINISHED,2018,CUP,827,773,1.0,0.0,1.0,1.0,0.0,-2.0,2.0,0.0,1.0,9.0,3.0
32,285451,19,6,2021,6,16,0,2.0,FINISHED,2018,CUP,765,759,1.0,2.0,2.0,4.0,0.0,-5.0,5.0,0.0,0.0,20.0,5.0
33,285452,23,6,2021,3,19,0,3.0,FINISHED,2018,CUP,759,827,0.0,1.0,2.0,2.0,1.0,-1.0,1.0,-1.0,1.0,20.0,3.0
34,285453,23,6,2021,3,19,0,3.0,FINISHED,2018,CUP,765,773,1.0,1.0,2.0,2.0,1.0,-3.0,3.0,-1.0,1.0,14.0,5.0
35,325077,11,7,2021,7,19,0,7.0,FINISHED,2018,CUP,784,770,0.0,1.0,4.0,3.0,3.0,-2.0,2.0,-3.0,0.0,23.0,5.0
36,325078,7,7,2021,3,19,0,6.0,FINISHED,2018,CUP,770,782,1.0,1.0,2.0,1.0,2.0,0.0,0.0,-2.0,1.0,6.0,3.0
37,325079,6,7,2021,2,19,0,6.0,FINISHED,2018,CUP,784,760,0.0,0.0,5.0,3.0,2.0,-2.0,2.0,-2.0,1.0,19.0,5.0
38,325080,3,7,2021,6,19,0,5.0,FINISHED,2018,CUP,790,770,0.0,1.0,0.0,4.0,0.0,-3.0,3.0,0.0,1.0,9.0,4.0
39,325081,3,7,2021,6,16,0,5.0,FINISHED,2018,CUP,798,782,0.0,2.0,1.0,2.0,2.0,-1.0,1.0,-2.0,0.0,8.0,3.0
40,325082,2,7,2021,5,19,0,5.0,FINISHED,2018,CUP,805,784,1.0,2.0,1.0,2.0,0.0,-4.0,4.0,0.0,1.0,12.0,5.0
41,325083,2,7,2021,5,16,0,5.0,FINISHED,2018,CUP,788,760,0.0,1.0,2.0,4.0,1.0,-3.0,3.0,-1.0,0.0,13.0,4.0
42,325084,29,6,2021,2,19,0,4.0,FINISHED,2018,CUP,792,790,1.0,1.0,1.0,2.0,0.0,-2.0,2.0,0.0,0.0,6.0,2.0
43,325085,29,6,2021,2,16,0,4.0,FINISHED,2018,CUP,770,759,0.0,0.0,2.0,0.0,2.0,-3.0,3.0,-2.0,0.0,30.0,5.0
44,325086,28,6,2021,1,19,0,4.0,FINISHED,2018,CUP,773,788,0.0,1.0,7.0,8.0,2.0,-1.0,1.0,-2.0,2.0,26.0,5.0
45,325087,28,6,2021,1,16,0,4.0,FINISHED,2018,CUP,799,760,1.0,1.0,3.0,5.0,1.0,-2.0,2.0,-1.0,0.0,12.0,3.0
46,325088,27,6,2021,7,19,0,4.0,FINISHED,2018,CUP,805,765,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0
47,325089,27,6,2021,7,16,0,4.0,FINISHED,2018,CUP,8601,798,0.0,0.0,0.0,2.0,1.0,-2.0,2.0,-1.0,0.0,8.0,3.0
48,325090,26,6,2021,6,19,0,4.0,FINISHED,2018,CUP,784,816,0.0,0.0,2.0,1.0,5.0,0.0,0.0,-5.0,0.0,9.0,5.0
