,id,day,month,year,weekday,hour,minute,matchday,status,leagueName,leagueId,leagueType,stage,homeName,homeId,awayName,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt,h2hHomeWins,h2hHomeLosses,h2hAwayWins,h2hAwayLosses,h2hDraws,h2hAvgGoals,h2hMatches
0,339883,24,2,2022,4,0,30,2.0,FINISHED,Copa Libertadores,2152,CUP,QUALIFICATION_ROUND_2,Audax Italiano,4455,Estudiantes LP,2051,1.0,0.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,3.0,2.0
1,339889,24,2,2022,4,0,30,2.0,FINISHED,Copa Libertadores,2152,CUP,QUALIFICATION_ROUND_2,Barcelona SC,4520,Universitario,4268,0.0,0.0,2.0,0.0,2.0,0.0,2.0,-2.0,0.0,3.0,2.0
2,327172,24,2,2022,4,19,45,20.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Wolverhampton,76,0.0,1.0,2.0,1.0,5.0,0.0,5.0,-5.0,0.0,15.0,5.0
3,333548,5,2,2022,6,14,0,24.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Roma,100,Genoa,107,0.0,0.0,0.0,0.0,3.0,-1.0,3.0,-3.0,1.0,9.0,5.0
4,329522,5,2,2022,6,14,30,21.0,FINISHED,Bundesliga,2002,LEAGUE,REGULAR_SEASON,Augsburg,16,Union Berlin,28,1.0,0.0,2.0,0.0,3.0,0.0,3.0,-3.0,2.0,11.0,5.0
5,329525,5,2,2022,6,14,30,21.0,FINISHED,Bundesliga,2002,LEAGUE,REGULAR_SEASON,1. FC Köln,1,Freiburg,17,1.0,0.0,1.0,0.0,1.0,-3.0,1.0,-1.0,1.0,6.0,5.0
6,329520,5,2,2022,6,14,30,21.0,FINISHED,Bundesliga,2002,LEAGUE,REGULAR_SEASON,Stuttgart,10,Frankfurt,19,1.0,1.0,2.0,3.0,2.0,-2.0,2.0,-2.0,1.0,17.0,5.0
7,329524,5,2,2022,6,14,30,21.0,FINISHED,Bundesliga,2002,LEAGUE,REGULAR_SEASON,Bielefeld,38,M'gladbach,18,1.0,1.0,1.0,1.0,1.0,-3.0,1.0,-1.0,1.0,23.0,5.0
8,329521,5,2,2022,6,14,30,21.0,FINISHED,Bundesliga,2002,LEAGUE,REGULAR_SEASON,Mainz,15,Hoffenheim,2,0.0,0.0,2.0,0.0,3.0,-1.0,3.0,-3.0,1.0,15.0,5.0
9,327883,5,2,2022,6,15,0,30.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Blackpool,336,Bristol City,387,2.0,0.0,3.0,1.0,1.0,-1.0,1.0,-1.0,3.0,16.0,5.0
10,327881,5,2,2022,6,15,0,30.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Hull City,322,Preston NE,1081,0.0,0.0,0.0,1.0,1.0,-1.0,1.0,-1.0,3.0,2.0,5.0
11,325604,5,2,2022,6,15,30,21.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Utrecht,676,Cambuur,1909,2.0,2.0,3.0,2.0,3.0,-1.0,3.0,-3.0,1.0,13.0,5.0
12,330331,5,2,2022,6,16,0,23.0,FINISHED,Ligue 1,2015,LEAGUE,REGULAR_SEASON,Saint-Étienne,527,Montpellier,518,0.0,1.0,3.0,1.0,2.0,-3.0,2.0,-2.0,0.0,11.0,5.0
13,333550,5,2,2022,6,17,0,24.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Inter,108,Milan,98,1.0,0.0,1.0,2.0,5.0,0.0,5.0,-5.0,0.0,13.0,5.0
14,327873,5,2,2022,6,17,30,30.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Swansea,72,Blackburn,59,1.0,0.0,1.0,0.0,3.0,-2.0,3.0,-3.0,0.0,9.0,5.0
15,329517,5,2,2022,6,17,30,21.0,FINISHED,Bundesliga,2002,LEAGUE,REGULAR_SEASON,Bayern,5,RB Leipzig,721,2.0,1.0,3.0,2.0,1.0,-2.0,1.0,-1.0,2.0,16.0,5.0
16,325603,5,2,2022,6,17,45,21.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Sittard,1920,Heerenveen,673,1.0,0.0,2.0,0.0,2.0,-2.0,2.0,-2.0,1.0,16.0,5.0
17,327199,5,2,2022,6,18,0,17.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Watford,346,0.0,0.0,0.0,0.0,2.0,-1.0,2.0,-2.0,2.0,7.0,5.0
18,325601,5,2,2022,6,19,0,21.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,PSV,674,AZ,682,1.0,1.0,1.0,2.0,3.0,-2.0,3.0,-3.0,0.0,17.0,5.0
19,325602,5,2,2022,6,19,0,21.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Zwolle,684,NEC,1915,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,-1.0,2.0,14.0,5.0
20,333551,5,2,2022,6,19,50,24.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Fiorentina,99,Lazio,110,0.0,0.0,0.0,3.0,1.0,-3.0,1.0,-1.0,1.0,13.0,5.0
21,325600,5,2,2022,6,20,0,21.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Twente,666,Vitesse,679,2.0,0.0,3.0,0.0,4.0,0.0,4.0,-4.0,1.0,14.0,5.0
22,330335,5,2,2022,6,20,0,23.0,FINISHED,Ligue 1,2015,LEAGUE,REGULAR_SEASON,Monaco,548,Olympique Lyon,523,2.0,0.0,2.0,0.0,2.0,-3.0,2.0,-2.0,0.0,15.0,5.0
23,325599,6,2,2022,7,11,15,21.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Feyenoord,675,Sparta,6806,2.0,0.0,4.0,0.0,4.0,0.0,4.0,-4.0,1.0,17.0,5.0
24,333553,6,2,2022,7,11,30,24.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Atalanta,102,Cagliari,104,0.0,0.0,1.0,2.0,3.0,-2.0,3.0,-3.0,0.0,12.0,5.0
25,330337,6,2,2022,7,12,0,23.0,FINISHED,Ligue 1,2015,LEAGUE,REGULAR_SEASON,Lorient,525,RC Lens,546,1.0,0.0,2.0,0.0,1.0,-3.0,1.0,-1.0,1.0,15.0,5.0
