,id,day,month,year,weekday,hour,minute,matchday,status,leagueName,leagueId,leagueType,stage,homeName,homeId,awayName,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt,h2hHomeWins,h2hHomeLosses,h2hAwayWins,h2hAwayLosses,h2hDraws,h2hAvgGoals,h2hMatches
0,441764,5,5,2024,7,10,15,32.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,PSV,674,Sparta,6806,2.0,2.0,4.0,2.0,4.0,0.0,4.0,-4.0,1.0,14.0,5.0
1,441766,5,5,2024,7,10,15,32.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Heracles,671,RKC,683,0.0,2.0,0.0,5.0,2.0,-3.0,2.0,-2.0,0.0,14.0,5.0
2,444594,5,5,2024,7,10,30,35.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Cagliari,104,Lecce,5890,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,4.0,11.0,5.0
3,441767,5,5,2024,7,12,30,32.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Volendam,1919,Ajax,678,0.0,1.0,1.0,4.0,0.0,-4.0,0.0,0.0,1.0,18.0,5.0
4,441765,5,5,2024,7,12,30,32.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Utrecht,676,Vitesse,679,0.0,0.0,1.0,0.0,2.0,-1.0,2.0,-2.0,2.0,6.0,5.0
5,436297,5,5,2024,7,13,0,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,West Ham,563,3.0,0.0,5.0,0.0,3.0,-1.0,3.0,-3.0,1.0,15.0,5.0
6,444596,5,5,2024,7,13,0,35.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Verona,450,Fiorentina,99,1.0,1.0,2.0,1.0,1.0,-3.0,1.0,-1.0,1.0,11.0,5.0
7,436295,5,5,2024,7,13,0,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Aston Villa,58,0.0,0.0,1.0,0.0,1.0,-4.0,1.0,-1.0,0.0,16.0,5.0
8,444595,5,5,2024,7,13,0,35.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Empoli,445,Frosinone,470,0.0,0.0,0.0,0.0,3.0,-1.0,3.0,-3.0,1.0,11.0,5.0
9,442074,5,5,2024,7,13,30,32.0,FINISHED,Bundesliga,2002,LEAGUE,REGULAR_SEASON,Union Berlin,28,Bochum,36,0.0,3.0,3.0,4.0,1.0,-3.0,1.0,-1.0,1.0,20.0,5.0
10,441763,5,5,2024,7,14,45,32.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,AZ,682,Twente,666,0.0,1.0,2.0,1.0,1.0,-3.0,1.0,-1.0,1.0,12.0,5.0
11,436299,5,5,2024,7,15,30,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Tottenham,73,2.0,0.0,4.0,2.0,3.0,-1.0,3.0,-3.0,1.0,21.0,5.0
12,442071,5,5,2024,7,15,30,32.0,FINISHED,Bundesliga,2002,LEAGUE,REGULAR_SEASON,Frankfurt,19,Leverkusen,3,1.0,2.0,1.0,5.0,1.0,-4.0,1.0,-1.0,0.0,21.0,5.0
13,444597,5,5,2024,7,16,0,35.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Milan,98,Genoa,107,1.0,1.0,3.0,3.0,4.0,0.0,4.0,-4.0,1.0,16.0,5.0
14,442072,5,5,2024,7,17,30,32.0,FINISHED,Bundesliga,2002,LEAGUE,REGULAR_SEASON,Heidenheim,44,Mainz,15,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,3.0,2.0
15,441769,5,5,2024,7,18,0,32.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Feyenoord,675,Zwolle,684,2.0,0.0,5.0,0.0,5.0,0.0,5.0,-5.0,0.0,18.0,5.0
16,444599,5,5,2024,7,18,45,35.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Roma,100,Juventus,109,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,-1.0,2.0,13.0,5.0
17,444600,6,5,2024,1,16,0,35.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Salernitana,455,Atalanta,102,1.0,0.0,1.0,2.0,1.0,-3.0,1.0,-1.0,1.0,21.0,5.0
18,441768,6,5,2024,1,18,0,32.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Excelsior,670,NEC,1915,0.0,0.0,0.0,3.0,2.0,-2.0,2.0,-2.0,1.0,18.0,5.0
19,444603,6,5,2024,1,18,45,35.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Udinese,115,Napoli,113,0.0,0.0,1.0,1.0,0.0,-3.0,0.0,0.0,2.0,17.0,5.0
20,442991,6,5,2024,1,19,0,32.0,FINISHED,Ligue 1,2015,LEAGUE,REGULAR_SEASON,Lille,521,Olympique Lyon,523,2.0,0.0,3.0,4.0,2.0,-2.0,2.0,-2.0,1.0,17.0,5.0
21,436298,6,5,2024,1,19,0,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Man United,66,2.0,0.0,4.0,0.0,2.0,-2.0,2.0,-2.0,1.0,13.0,5.0
22,494873,7,5,2024,2,22,0,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,Rosario,2070,Mineiro,1766,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,4.0,2.0
23,494874,7,5,2024,2,22,0,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,Caracas FC,5167,Peñarol,5184,0.0,1.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,6.0,2.0
24,494886,8,5,2024,3,0,0,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,Club Nacional,7055,River Plate,6667,0.0,2.0,2.0,2.0,0.0,-1.0,0.0,0.0,1.0,6.0,2.0
25,494850,8,5,2024,3,0,0,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,Palestino,4460,Flamengo,1783,0.0,0.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,3.0,2.0
26,494885,8,5,2024,3,0,0,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,Táchira,5171,Libertad,9379,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,5.0,2.0
27,494837,8,5,2024,3,2,0,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,Universitario,4268,Junior,4439,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0
28,494813,8,5,2024,3,22,0,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,Talleres,2073,Barcelona SC,4520,2.0,0.0,3.0,1.0,1.0,0.0,1.0,-1.0,1.0,8.0,2.0
29,494801,9,5,2024,4,0,0,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,Alianza Lima,5680,Cerro Porteño,9373,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,3.0,2.0
30,494814,9,5,2024,4,0,30,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,Cobresal,7913,São Paulo,1776,1.0,1.0,1.0,3.0,0.0,-2.0,0.0,0.0,0.0,6.0,2.0
31,494838,9,5,2024,4,0,30,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,Botafogo,1770,LDU de Quito,4528,1.0,1.0,2.0,1.0,1.0,-1.0,1.0,-1.0,0.0,4.0,2.0
32,494849,9,5,2024,4,2,0,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,Millonarios,4444,Club Bolívar,4261,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,7.0,2.0
33,494861,9,5,2024,4,22,0,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,San Lorenzo,2071,Independiente,6989,2.0,0.0,2.0,0.0,1.0,-1.0,1.0,-1.0,0.0,4.0,2.0
34,494862,9,5,2024,4,22,0,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,Liverpool,7118,Palmeiras,1769,0.0,1.0,0.0,5.0,0.0,-2.0,0.0,0.0,0.0,9.0,2.0
35,494825,10,5,2024,5,0,0,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,The Strongest,4267,Estudiantes LP,2051,1.0,0.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,4.0,2.0
36,494802,10,5,2024,5,0,0,4.0,FINISHED,Copa Libertadores,2152,CUP,GROUP_STAGE,Colo-Colo,4410,Fluminense,1765,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,4.0,2.0
37,442084,10,5,2024,5,18,30,33.0,FINISHED,Bundesliga,2002,LEAGUE,REGULAR_SEASON,Augsburg,16,Stuttgart,10,0.0,0.0,0.0,1.0,0.0,-4.0,0.0,0.0,1.0,14.0,5.0
38,444606,10,5,2024,5,18,45,36.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Frosinone,470,Inter,108,0.0,1.0,0.0,5.0,0.0,-5.0,0.0,0.0,0.0,15.0,5.0
39,443002,10,5,2024,5,19,0,33.0,FINISHED,Ligue 1,2015,LEAGUE,REGULAR_SEASON,Brest,512,Stade de Reims,547,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,4.0,9.0,5.0
40,442998,10,5,2024,5,19,0,33.0,FINISHED,Ligue 1,2015,LEAGUE,REGULAR_SEASON,Nice,522,Le Havre,533,1.0,0.0,1.0,0.0,1.0,-3.0,1.0,-1.0,1.0,9.0,5.0
