,id,day,month,year,weekday,hour,minute,matchday,status,leagueName,leagueId,leagueType,stage,homeName,homeId,awayName,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt,h2hHomeWins,h2hHomeLosses,h2hAwayWins,h2hAwayLosses,h2hDraws,h2hAvgGoals,h2hMatches
0,327862,9,2,2022,3,19,45,31.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,QPR,69,Middlesbrough,343,1.0,1.0,2.0,2.0,2.0,-2.0,2.0,-2.0,1.0,17.0,5.0
1,327125,9,2,2022,3,19,45,24.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Southampton,340,1.0,1.0,2.0,3.0,2.0,-1.0,2.0,-2.0,2.0,21.0,5.0
2,327132,9,2,2022,3,20,0,24.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Leeds United,341,3.0,2.0,3.0,3.0,3.0,0.0,3.0,-3.0,2.0,13.0,5.0
3,339895,9,2,2022,3,22,15,1.0,FINISHED,Copa Libertadores,2152,CUP,QUALIFICATION_ROUND_1,Lara,9375,Club Bolívar,4261,2.0,3.0,2.0,3.0,0.0,-2.0,0.0,0.0,0.0,9.0,2.0
4,339894,10,2,2022,4,0,30,1.0,FINISHED,Copa Libertadores,2152,CUP,QUALIFICATION_ROUND_1,César Vallejo,7930,Olimpia,9372,0.0,1.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,3.0,2.0
5,327124,10,2,2022,4,19,45,24.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Leicester City,338,1.0,0.0,2.0,0.0,4.0,-1.0,4.0,-4.0,0.0,13.0,5.0
6,327127,10,2,2022,4,19,45,24.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Arsenal,57,0.0,1.0,0.0,1.0,0.0,-5.0,0.0,0.0,0.0,15.0,5.0
7,325592,11,2,2022,5,19,0,22.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Heracles,671,Utrecht,676,0.0,0.0,1.0,0.0,1.0,-4.0,1.0,-1.0,0.0,9.0,5.0
8,329508,11,2,2022,5,19,30,22.0,FINISHED,Bundesliga,2002,LEAGUE,REGULAR_SEASON,RB Leipzig,721,1. FC Köln,1,1.0,0.0,3.0,1.0,3.0,0.0,3.0,-3.0,2.0,20.0,5.0
9,330319,11,2,2022,5,20,0,24.0,FINISHED,Ligue 1,2015,LEAGUE,REGULAR_SEASON,PSG,524,Stade Rennais,529,0.0,0.0,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,10.0,5.0
10,327117,12,2,2022,6,12,30,25.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Southampton,340,1.0,0.0,1.0,1.0,2.0,0.0,2.0,-2.0,3.0,14.0,5.0
11,327857,12,2,2022,6,12,30,32.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Huddersfield,394,Sheffield Utd,356,0.0,0.0,0.0,0.0,2.0,-2.0,2.0,-2.0,1.0,8.0,5.0
12,333539,12,2,2022,6,14,0,25.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Lazio,110,Bologna,103,1.0,0.0,3.0,0.0,1.0,-3.0,1.0,-1.0,1.0,8.0,5.0
13,327855,12,2,2022,6,15,0,32.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Middlesbrough,343,Derby County,342,3.0,1.0,4.0,1.0,2.0,-1.0,2.0,-2.0,2.0,15.0,5.0
14,327853,12,2,2022,6,15,0,32.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Peterborough,1077,Preston NE,1081,0.0,0.0,0.0,1.0,1.0,-3.0,1.0,-1.0,0.0,9.0,4.0
15,327858,12,2,2022,6,15,0,32.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Blackpool,336,Bournemouth,1044,1.0,0.0,1.0,2.0,1.0,-2.0,1.0,-1.0,2.0,18.0,5.0
16,327113,12,2,2022,6,15,0,25.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Watford,346,Brighton Hove,397,0.0,1.0,0.0,2.0,0.0,-3.0,0.0,0.0,2.0,9.0,5.0
17,327860,12,2,2022,6,15,0,32.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Barnsley,357,QPR,69,0.0,0.0,1.0,0.0,4.0,0.0,4.0,-4.0,1.0,13.0,5.0
18,327850,12,2,2022,6,15,0,32.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Millwall,384,Cardiff,715,0.0,0.0,2.0,1.0,4.0,-1.0,4.0,-4.0,0.0,11.0,5.0
19,327856,12,2,2022,6,15,0,32.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Hull City,322,Fulham,63,0.0,0.0,0.0,1.0,1.0,-4.0,1.0,-1.0,0.0,9.0,5.0
20,327852,12,2,2022,6,15,0,32.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Reading,355,Coventry City,1076,1.0,1.0,2.0,3.0,2.0,-3.0,2.0,-2.0,0.0,15.0,5.0
21,327854,12,2,2022,6,15,0,32.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Nottingham,351,Stoke,70,0.0,0.0,2.0,2.0,0.0,-2.0,0.0,0.0,3.0,14.0,5.0
22,333537,12,2,2022,6,17,0,25.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Napoli,113,Inter,108,1.0,0.0,1.0,1.0,1.0,-3.0,1.0,-1.0,1.0,11.0,5.0
23,329510,12,2,2022,6,17,30,22.0,FINISHED,Bundesliga,2002,LEAGUE,REGULAR_SEASON,Leverkusen,3,Stuttgart,10,1.0,0.0,4.0,2.0,2.0,0.0,2.0,-2.0,3.0,15.0,5.0
24,327115,12,2,2022,6,17,30,25.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Norwich,68,Man City,65,0.0,1.0,0.0,4.0,1.0,-3.0,1.0,-1.0,1.0,19.0,5.0
25,325594,12,2,2022,6,17,45,22.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Groningen,677,Sittard,1920,0.0,0.0,0.0,1.0,2.0,-3.0,2.0,-2.0,0.0,22.0,5.0
26,325590,12,2,2022,6,17,45,22.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Cambuur,1909,Zwolle,684,2.0,2.0,3.0,4.0,2.0,-2.0,2.0,-2.0,1.0,22.0,5.0
27,325587,12,2,2022,6,19,0,22.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Vitesse,679,PSV,674,0.0,3.0,0.0,5.0,0.0,-4.0,0.0,0.0,1.0,18.0,5.0
28,333534,12,2,2022,6,19,45,25.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Torino,586,Venezia FC,454,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,-1.0,3.0,12.0,5.0
29,330324,12,2,2022,6,20,0,24.0,FINISHED,Ligue 1,2015,LEAGUE,REGULAR_SEASON,Olympique Lyon,523,Nice,522,1.0,0.0,2.0,0.0,2.0,-1.0,2.0,-2.0,2.0,9.0,5.0
30,325588,13,2,2022,7,11,15,22.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Sparta,6806,Willem II,672,0.0,0.0,1.0,0.0,3.0,-2.0,3.0,-3.0,0.0,13.0,5.0
31,325593,13,2,2022,7,11,15,22.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Go Ahead,718,AZ,682,1.0,3.0,1.0,4.0,0.0,-5.0,0.0,0.0,0.0,21.0,5.0
32,333538,13,2,2022,7,11,30,25.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Milan,98,Sampdoria,584,1.0,0.0,1.0,0.0,4.0,0.0,4.0,-4.0,1.0,13.0,5.0
33,330322,13,2,2022,7,12,0,24.0,FINISHED,Ligue 1,2015,LEAGUE,REGULAR_SEASON,Monaco,548,Lorient,525,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,4.0,16.0,5.0
34,327849,13,2,2022,7,13,0,32.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Swansea,72,Bristol City,387,0.0,1.0,3.0,1.0,1.0,-3.0,1.0,-1.0,1.0,11.0,5.0
35,325589,13,2,2022,7,13,30,22.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,Heerenveen,673,NEC,1915,0.0,1.0,0.0,1.0,1.0,-2.0,1.0,-1.0,2.0,10.0,5.0
36,325591,13,2,2022,7,13,30,22.0,FINISHED,Eredivisie,2003,LEAGUE,REGULAR_SEASON,RKC,683,Feyenoord,675,0.0,1.0,0.0,2.0,0.0,-5.0,0.0,0.0,0.0,13.0,5.0
37,327114,13,2,2022,7,14,0,25.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Wolverhampton,76,0.0,2.0,0.0,2.0,1.0,-4.0,1.0,-1.0,0.0,10.0,5.0
38,327116,13,2,2022,7,14,0,25.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Aston Villa,58,1.0,0.0,1.0,0.0,4.0,-1.0,4.0,-4.0,0.0,18.0,5.0
39,333542,13,2,2022,7,14,0,25.0,FINISHED,Serie A,2019,LEAGUE,REGULAR_SEASON,Empoli,445,Cagliari,104,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,-1.0,3.0,9.0,5.0
