id,day,month,year,weekday,hour,minute,matchday,status,leagueName,leagueId,leagueType,stage,homeName,homeId,awayName,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt
327266,31,10,2021,7,14,0,10,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Norwich,68,Leeds United,341,0,0,1,2
327272,31,10,2021,7,16,30,10,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,West Ham,563,1,2,1,4
327263,1,11,2021,1,20,0,10,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Everton,62,2,0,2,1
327254,5,11,2021,5,20,0,11,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Southampton,340,Aston Villa,58,1,0,1,0
327255,6,11,2021,6,12,30,11,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Man City,65,0,2,0,2
327259,6,11,2021,6,15,0,11,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Burnley,328,1,0,1,1
327261,6,11,2021,6,15,0,11,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Norwich,68,0,2,1,2
327258,6,11,2021,6,15,0,11,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Wolverhampton,76,0,0,2,0
327260,6,11,2021,6,17,30,11,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Newcastle,67,1,0,1,1
327292,18,10,2021,1,19,0,8,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Crystal Palace,354,1,0,2,2
327282,22,10,2021,5,19,0,9,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Aston Villa,58,2,0,3,1
327279,23,10,2021,6,11,30,9,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Norwich,68,3,0,7,0
327277,23,10,2021,6,14,0,9,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Watford,346,1,1,2,5
327278,23,10,2021,6,14,0,9,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Newcastle,67,0,0,1,1
327274,23,10,2021,6,14,0,9,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Southampton,340,Burnley,328,1,1,2,2
327276,23,10,2021,6,14,0,9,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leeds United,341,Wolverhampton,76,0,1,1,1
327280,23,10,2021,6,16,30,9,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Man City,65,0,3,1,4
327281,24,10,2021,7,13,0,9,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Leicester City,338,0,1,1,2
327273,24,10,2021,7,13,0,9,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Tottenham,73,0,0,1,0
327275,24,10,2021,7,15,30,9,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Liverpool,64,0,4,0,5
327283,16,10,2021,6,11,30,8,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Watford,346,Liverpool,64,0,2,0,5
327284,16,10,2021,6,14,0,8,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Southampton,340,Leeds United,341,0,0,1,0
327291,16,10,2021,6,14,0,8,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Wolverhampton,76,0,0,2,3
327288,16,10,2021,6,14,0,8,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leicester City,338,Man United,66,1,1,4,2
327287,16,10,2021,6,14,0,8,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man City,65,Burnley,328,1,0,2,0
327285,16,10,2021,6,14,0,8,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Norwich,68,Brighton Hove,397,0,0,0,0
327290,16,10,2021,6,16,30,8,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Chelsea,61,0,1,0,1
327289,17,10,2021,7,13,0,8,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,West Ham,563,0,0,0,1
327286,17,10,2021,7,15,30,8,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Tottenham,73,1,3,2,3
327296,2,10,2021,6,11,30,7,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Everton,62,1,0,1,1
327300,2,10,2021,6,14,0,7,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Southampton,340,1,0,3,1
327298,2,10,2021,6,14,0,7,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leeds United,341,Watford,346,1,0,1,0
327293,2,10,2021,6,14,0,7,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Newcastle,67,1,1,2,1
327301,2,10,2021,6,14,0,7,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Norwich,68,0,0,0,0
327302,2,10,2021,6,16,30,7,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Arsenal,57,0,0,0,0
327294,3,10,2021,7,13,0,7,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Brentford,402,0,1,1,2
327299,3,10,2021,7,13,0,7,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Leicester City,338,0,2,2,2
327295,3,10,2021,7,13,0,7,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Aston Villa,58,1,0,2,1
327297,3,10,2021,7,15,30,7,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Man City,65,0,0,2,2
327313,18,9,2021,6,11,30,5,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Brentford,402,0,2,0,2
327316,18,9,2021,6,14,0,5,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Norwich,68,Watford,346,1,1,1,3
327319,18,9,2021,6,14,0,5,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Crystal Palace,354,1,0,3,0
327318,18,9,2021,6,14,0,5,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man City,65,Southampton,340,0,0,0,0
327320,18,9,2021,6,14,0,5,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Arsenal,57,0,1,0,1
327322,18,9,2021,6,16,30,5,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Everton,62,0,0,3,0
327321,19,9,2021,7,13,0,5,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Leicester City,338,1,0,2,1
327314,19,9,2021,7,13,0,5,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Man United,66,1,1,1,2
327315,19,9,2021,7,15,30,5,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Chelsea,61,0,0,0,3
327305,25,9,2021,6,11,30,6,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Aston Villa,58,0,0,0,1
327310,25,9,2021,6,11,30,6,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Man City,65,0,0,0,1
327303,25,9,2021,6,14,0,6,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Watford,346,Newcastle,67,0,1,1,1
327307,25,9,2021,6,14,0,6,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leeds United,341,West Ham,563,1,0,1,2
327308,25,9,2021,6,14,0,6,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Norwich,68,1,0,2,0
327306,25,9,2021,6,14,0,6,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leicester City,338,Burnley,328,1,2,2,2
327311,25,9,2021,6,16,30,6,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Liverpool,64,1,1,3,3
327304,26,9,2021,7,13,0,6,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Southampton,340,Wolverhampton,76,0,0,0,1
327312,26,9,2021,7,15,30,6,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Tottenham,73,3,0,3,1
327309,27,9,2021,1,19,0,6,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Brighton Hove,397,1,0,1,1
327329,11,9,2021,6,11,30,4,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Tottenham,73,0,0,3,0
327331,11,9,2021,6,14,0,4,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Brighton Hove,397,0,0,0,1
327325,11,9,2021,6,14,0,4,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Newcastle,67,1,0,4,1
327323,11,9,2021,6,14,0,4,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Watford,346,Wolverhampton,76,0,0,0,2
327332,11,9,2021,6,14,0,4,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Norwich,68,0,0,1,0
327324,11,9,2021,6,14,0,4,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Southampton,340,West Ham,563,0,0,0,0
327326,11,9,2021,6,14,0,4,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leicester City,338,Man City,65,0,0,0,1
327330,11,9,2021,6,16,30,4,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Aston Villa,58,1,0,3,0
327327,12,9,2021,7,15,30,4,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leeds United,341,Liverpool,64,0,1,0,3
327328,13,9,2021,1,19,0,4,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Burnley,328,0,0,3,1
327317,17,9,2021,5,19,0,5,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Leeds United,341,1,1,1,1
327335,29,8,2021,7,13,0,3,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Watford,346,1,0,1,0
327340,29,8,2021,7,13,0,3,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Leeds United,341,0,0,1,1
327333,29,8,2021,7,15,30,3,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Man United,66,0,0,0,1
327347,21,8,2021,6,11,30,2,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Burnley,328,1,0,2,0
327348,21,8,2021,6,14,0,2,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leeds United,341,Everton,62,1,1,2,2
327346,21,8,2021,6,14,0,2,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man City,65,Norwich,68,2,0,5,0
327351,21,8,2021,6,14,0,2,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Newcastle,67,1,0,2,0
327349,21,8,2021,6,14,0,2,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Brentford,402,0,0,0,0
327350,21,8,2021,6,16,30,2,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Watford,346,2,0,2,0
327343,22,8,2021,7,13,0,2,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Tottenham,73,0,1,0,1
327345,22,8,2021,7,13,0,2,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Southampton,340,Man United,66,1,0,1,1
327352,22,8,2021,7,15,30,2,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Chelsea,61,0,2,0,2
327344,23,8,2021,1,19,0,2,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Leicester City,338,1,0,4,1
327338,28,8,2021,6,11,30,3,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man City,65,Arsenal,57,3,0,5,0
327337,28,8,2021,6,14,0,3,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Southampton,340,0,0,2,2
327342,28,8,2021,6,14,0,3,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Brentford,402,1,1,1,1
327334,28,8,2021,6,14,0,3,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Crystal Palace,354,1,0,2,2
327341,28,8,2021,6,14,0,3,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Everton,62,0,1,0,2
327336,28,8,2021,6,14,0,3,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Norwich,68,Leicester City,338,1,1,1,2
327339,28,8,2021,6,16,30,3,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Chelsea,61,1,1,1,1
327362,13,8,2021,5,19,0,1,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Arsenal,57,1,0,2,0
327357,14,8,2021,6,11,30,1,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Leeds United,341,1,0,5,1
327353,14,8,2021,6,14,0,1,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Watford,346,Aston Villa,58,2,0,3,2
327359,14,8,2021,6,14,0,1,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Southampton,340,0,1,3,1
327361,14,8,2021,6,14,0,1,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Brighton Hove,397,1,0,1,2
327358,14,8,2021,6,14,0,1,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leicester City,338,Wolverhampton,76,1,0,1,0
327360,14,8,2021,6,14,0,1,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Crystal Palace,354,2,0,3,0
327355,14,8,2021,6,16,30,1,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Norwich,68,Liverpool,64,0,1,0,3
327356,15,8,2021,7,13,0,1,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,West Ham,563,2,1,2,4
327354,15,8,2021,7,15,30,1,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Man City,65,0,0,1,0
