league_id,home_team_id,away_team_id,home_odds,draw_odds,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,wind_speed_100m,elevation,outcome
2013,4286,1779,2.18,3.25,22.195165634155273,97.89303588867188,5.966667175292969,94.36666870117188,15.1968412399292,150.0,1.0
2013,1767,4289,1.71,3.44,20.75483512878418,77.5306167602539,0.0,0.0,25.696779251098633,8.0,1.0
2017,5613,5589,1.23,6.55,18.211999893188477,76.26171875,0.0,0.20000000298023224,19.373605728149414,98.0,0.0
2014,298,264,1.4,4.83,13.497666358947754,62.52992248535156,0.0,0.0,19.298879623413086,103.0,1.0
2015,546,541,1.36,5.01,6.732499599456787,74.86145782470703,0.0,90.26666259765625,28.733200073242188,42.0,1.0
2013,1765,1780,1.84,3.5,27.660165786743164,80.3728256225586,0.6666666865348816,80.73333740234375,18.397872924804688,19.0,-1.0
2019,450,115,2.62,3.02,9.582500457763672,67.1732177734375,0.0,86.0,9.700322151184082,66.0,-1.0
2021,76,57,9.74,5.54,7.9118332862854,67.13993072509766,0.0,3.1000001430511475,17.47443199157715,135.0,0.0
2017,810,9136,2.84,3.04,18.626832962036133,74.38441467285156,0.0,0.30000001192092896,26.252700805664062,64.0,0.0
2002,28,5,4.71,4.1,5.327999591827393,61.27119064331055,0.0,81.73332977294922,17.123064041137695,88.0,0.0
2014,95,90,2.71,3.06,17.007333755493164,50.35251235961914,0.0,8.0,20.307388305664062,20.0,0.0
2016,69,1081,1.91,3.42,9.651167869567871,55.127071380615234,0.0,70.4000015258789,25.16373634338379,11.0,1.0
2019,445,113,4.89,4.02,13.47499942779541,57.414981842041016,0.03333333507180214,41.20000076293945,16.696256637573242,27.0,1.0
2015,543,529,3.04,3.25,13.240666389465332,48.488555908203125,0.0,13.799999237060547,24.523252487182617,30.0,0.0
2017,583,5533,2.18,3.24,25.02083396911621,33.732112884521484,0.0,2.200000047683716,6.46104097366333,154.0,0.0
2014,87,79,2.21,3.12,21.839834213256836,58.32393264770508,1.7666667699813843,62.0333366394043,9.679055213928223,199.0,0.0
2016,385,332,5.48,3.99,14.786666870117188,67.31797790527344,0.0,55.10000228881836,12.935989379882812,48.0,-1.0
2016,715,340,7.38,4.78,11.609166145324707,56.53953170776367,0.0,73.20000457763672,19.400365829467773,11.0,0.0
2021,389,402,3.19,3.81,8.737333297729492,57.703216552734375,0.0,83.0999984741211,26.44095802307129,116.0,0.0
2016,394,72,2.13,3.53,10.775666236877441,56.80921936035156,0.03333333507180214,100.0,14.247355461120605,60.0,0.0
2016,346,322,2.85,3.45,11.565333366394043,50.99565124511719,0.0,96.26666259765625,19.44242286682129,61.0,-1.0
2016,71,384,2.19,3.25,7.379666805267334,74.6948471069336,0.0,80.03333282470703,17.79106903076172,28.0,0.0
2021,356,328,2.76,3.56,9.772666931152344,57.97111892700195,0.0,100.0,13.840760231018066,76.0,0.0
2016,70,1138,1.83,3.44,10.401165962219238,54.190067291259766,0.0,90.33333587646484,20.04020118713379,128.0,1.0
2016,68,387,1.66,3.96,8.017000198364258,59.92412185668945,0.0,93.29999542236328,34.50639343261719,5.0,0.0
2002,44,721,6.21,5.03,6.3580002784729,54.298187255859375,0.06666667014360428,95.73333740234375,27.325117111206055,557.0,0.0
2002,11,36,1.77,3.95,7.3429999351501465,68.12113189697266,0.23333334922790527,62.5333366394043,15.49889087677002,61.0,1.0
2002,2,18,2.13,4.0,8.03600025177002,68.54351806640625,0.2666666805744171,95.0666732788086,18.966197967529297,176.0,0.0
2002,1,55,1.5,4.58,8.996333122253418,69.82291412353516,0.13333334028720856,82.0999984741211,25.176645278930664,58.0,0.0
2014,558,275,1.75,3.7,24.58766746520996,52.39443588256836,0.0,15.900001525878906,5.1471734046936035,13.0,1.0
2016,338,74,1.56,4.21,9.18600082397461,57.19597244262695,0.0,91.20000457763672,30.052398681640625,56.0,-1.0
2017,496,712,2.54,3.18,15.658833503723145,69.1035385131836,0.0,21.100000381469727,19.2203426361084,25.0,-1.0
2014,77,83,1.28,5.63,13.43566608428955,38.72291564941406,0.0,0.0,9.813232421875,779.0,-1.0
2015,522,525,1.52,4.3,10.5426664352417,64.18445587158203,0.0,0.4000000059604645,3.3692169189453125,28.0,1.0
2019,104,109,5.05,3.5,9.759665489196777,74.05132293701172,0.03333333507180214,100.0,12.308390617370605,219.0,-1.0
2002,19,16,2.02,3.76,6.428500652313232,80.10782623291016,0.0,44.10000228881836,27.788259506225586,124.0,0.0
2019,107,110,3.14,3.12,13.683834075927734,56.42238235473633,0.0,7.500000476837158,16.18511390686035,23.0,0.0
2013,1770,3988,1.79,3.54,21.679834365844727,83.43077850341797,0.0,79.53333282470703,7.9665913581848145,32.0,1.0
