id,date,status,league_name,league_id,league_type,stage,home_team,home_team_id,away_team,away_team_id,venue,home_odds,draw_odds,away_odds,home/away,draw,both_score,>1.5,>2.5,>3.5,>4.5,elevation,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m
327362,2021-08-13 19:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Arsenal,57,Brentford Community Stadium,3.63,3.63,1.98,1,0,1,0,0,0,0,10.0,17.2,0.0,44.0,14.1,218.0,82.0
327357,2021-08-14 11:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Leeds United,341,Old Trafford,1.61,4.1,5.23,1,0,1,1,1,0,0,32.0,16.4,0.3,89.0,11.0,251.0,76.0
327359,2021-08-14 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Southampton,340,Goodison Park,1.93,3.67,3.8,1,0,1,1,0,0,0,41.0,15.5,0.8,100.0,5.2,304.0,87.0
327360,2021-08-14 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Crystal Palace,354,Stamford Bridge,1.28,5.69,10.14,1,0,1,0,0,0,0,9.0,23.0,0.0,35.0,17.2,237.0,56.0
327358,2021-08-14 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leicester City,338,Wolverhampton,76,King Power Stadium,1.6,3.89,5.64,1,0,1,0,0,0,0,54.0,19.1,0.5,75.0,8.8,279.0,83.0
327361,2021-08-14 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Brighton Hove,397,Turf Moor,3.2,3.09,2.38,0,0,1,0,0,0,0,121.0,14.9,0.3,100.0,13.3,257.0,79.0
327353,2021-08-14 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Watford,346,Aston Villa,58,Vicarage Road Stadium,3.38,3.48,2.11,1,0,1,1,0,0,0,72.0,22.3,0.0,49.0,16.1,231.0,58.0
327355,2021-08-14 16:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Norwich,68,Liverpool,64,Carrow Road,8.43,5.61,1.32,0,0,1,0,0,0,0,3.0,20.5,0.2,92.0,8.8,261.0,74.0
327356,2021-08-15 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,West Ham,563,St James' Park,3.27,3.36,2.2,0,0,1,1,1,0,0,80.0,14.9,0.0,72.0,6.6,241.0,85.0
327354,2021-08-15 15:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Man City,65,Tottenham Hotspur Stadium,4.82,3.97,1.67,1,0,1,0,0,0,0,13.0,20.4,0.0,100.0,17.8,262.0,59.0
