HomeTeam,AwayTeam,AvgH,AvgD,AvgA,DayOfYear,DayOfWeek,HourOfDay,MinuteOfHour,target
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.32,3.45,2.91,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.48,4.39,6.76,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.1,3.34,3.47,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.65,3.4,2.62,42.0,0.0,15.0,0.0,1.0
