id,day,month,year,weekday,hour,minute,matchday,leagueType,homeId,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt,h2hHomeWins,h2hHomeLosses,h2hAwayWins,h2hAwayLosses,h2hDraws,h2hAvgGoals,target
333677.0,31.0,10.0,2021.0,7.0,19.0,45.0,11.0,0.0,100.0,98.0,0.0,1.0,1.0,2.0,2.0,-2.0,2.0,-2.0,1.0,2.6,1.5
415988.0,14.0,8.0,2022.0,7.0,12.0,30.0,2.0,0.0,666.0,1920.0,2.0,0.0,3.0,0.0,4.0,-1.0,4.0,-4.0,0.0,2.8,1.5
441739.0,7.0,4.0,2024.0,7.0,10.0,15.0,29.0,0.0,679.0,1915.0,0.0,0.0,0.0,3.0,3.0,-1.0,3.0,-3.0,1.0,3.2,1.5
415783.0,12.0,3.0,2023.0,7.0,11.0,15.0,25.0,0.0,1915.0,676.0,1.0,0.0,2.0,2.0,1.0,-2.0,1.0,-1.0,2.0,1.8,2.0
391991.0,7.0,4.0,2022.0,4.0,0.0,0.0,1.0,1.0,4437.0,1766.0,0.0,1.0,0.0,2.0,1.0,-1.0,1.0,-1.0,0.0,2.5,1.0
418755.0,4.0,1.0,2023.0,3.0,13.0,30.0,16.0,0.0,586.0,450.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,-3.0,2.0,1.4,1.0
416568.0,12.0,11.0,2022.0,6.0,14.0,30.0,15.0,0.0,16.0,36.0,0.0,0.0,0.0,1.0,1.0,-2.0,1.0,-1.0,2.0,2.8,0.5
442841.0,9.0,12.0,2023.0,6.0,16.0,0.0,15.0,0.0,529.0,548.0,0.0,0.0,1.0,2.0,1.0,-3.0,1.0,-1.0,1.0,2.6,1.5
327048.0,10.0,4.0,2022.0,7.0,15.0,30.0,32.0,0.0,65.0,64.0,2.0,1.0,2.0,2.0,2.0,-1.0,2.0,-2.0,2.0,3.0,2.0
330373.0,22.0,12.0,2021.0,3.0,20.0,0.0,19.0,0.0,548.0,529.0,1.0,1.0,2.0,1.0,3.0,-1.0,3.0,-3.0,1.0,2.6,1.5
436029.0,21.0,10.0,2023.0,6.0,14.0,0.0,9.0,0.0,67.0,354.0,3.0,0.0,4.0,0.0,2.0,-1.0,2.0,-2.0,2.0,2.2,2.0
325598.0,6.0,2.0,2022.0,7.0,13.0,30.0,21.0,0.0,677.0,718.0,1.0,0.0,2.0,1.0,4.0,0.0,4.0,-4.0,1.0,2.4,1.5
441544.0,1.0,10.0,2023.0,7.0,14.0,45.0,7.0,0.0,682.0,1920.0,1.0,0.0,4.0,0.0,5.0,0.0,5.0,-5.0,0.0,3.4,2.0
422209.0,1.0,4.0,2023.0,6.0,11.0,30.0,39.0,0.0,1081.0,336.0,2.0,0.0,3.0,1.0,3.0,-2.0,3.0,-3.0,0.0,2.8,2.0
325781.0,14.0,8.0,2021.0,6.0,18.0,0.0,1.0,0.0,1920.0,666.0,0.0,1.0,2.0,1.0,1.0,-4.0,1.0,-1.0,0.0,2.8,1.5
436276.0,21.0,4.0,2024.0,7.0,12.0,30.0,34.0,0.0,62.0,351.0,1.0,0.0,2.0,0.0,2.0,-1.0,2.0,-2.0,2.0,2.0,1.0
415930.0,8.0,10.0,2022.0,6.0,19.0,0.0,9.0,0.0,1915.0,670.0,0.0,0.0,1.0,1.0,2.0,-2.0,2.0,-2.0,1.0,3.6,1.0
418639.0,1.0,4.0,2023.0,6.0,18.0,45.0,28.0,0.0,109.0,450.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,-4.0,1.0,1.8,0.5
441930.0,19.0,12.0,2023.0,2.0,17.0,30.0,16.0,0.0,12.0,721.0,0.0,0.0,1.0,1.0,0.0,-3.0,0.0,0.0,2.0,2.6,1.0
415728.0,5.0,5.0,2023.0,5.0,18.0,0.0,31.0,0.0,683.0,1919.0,2.0,0.0,4.0,1.0,2.0,-2.0,2.0,-2.0,1.0,4.4,2.5
416582.0,8.0,11.0,2022.0,2.0,19.0,30.0,14.0,0.0,5.0,12.0,4.0,1.0,6.0,1.0,4.0,-1.0,4.0,-4.0,0.0,3.8,3.5
416139.0,25.0,2.0,2023.0,6.0,15.0,0.0,25.0,0.0,338.0,57.0,0.0,0.0,0.0,1.0,0.0,-5.0,0.0,0.0,0.0,3.0,0.5
436675.0,4.0,8.0,2023.0,5.0,19.0,0.0,1.0,0.0,345.0,340.0,0.0,1.0,1.0,2.0,0.0,-5.0,0.0,0.0,0.0,4.8,1.5
330547.0,15.0,8.0,2021.0,7.0,13.0,0.0,2.0,0.0,512.0,529.0,0.0,0.0,1.0,1.0,1.0,-3.0,1.0,-1.0,1.0,3.6,1.0
416573.0,12.0,11.0,2022.0,6.0,14.0,30.0,15.0,0.0,3.0,10.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,-2.0,3.0,3.0,1.0
418546.0,27.0,5.0,2023.0,6.0,13.0,0.0,37.0,0.0,455.0,115.0,1.0,2.0,3.0,2.0,1.0,-1.0,1.0,-1.0,3.0,2.6,2.5
433669.0,30.0,6.0,2023.0,5.0,0.0,0.0,6.0,1.0,1769.0,4261.0,2.0,0.0,4.0,0.0,1.0,-1.0,1.0,-1.0,0.0,4.0,2.0
415803.0,26.0,2.0,2023.0,7.0,11.0,15.0,23.0,0.0,1920.0,675.0,0.0,3.0,2.0,4.0,0.0,-3.0,0.0,0.0,2.0,2.6,3.0
415895.0,5.0,11.0,2022.0,6.0,20.0,0.0,13.0,0.0,670.0,673.0,0.0,0.0,0.0,1.0,2.0,-2.0,2.0,-2.0,1.0,1.6,0.5
444336.0,23.0,10.0,2023.0,1.0,18.0,45.0,9.0,0.0,99.0,445.0,0.0,1.0,0.0,2.0,1.0,-1.0,1.0,-1.0,3.0,1.4,1.0
436746.0,16.0,9.0,2023.0,6.0,14.0,0.0,6.0,0.0,345.0,349.0,0.0,1.0,0.0,1.0,1.0,-2.0,1.0,-1.0,2.0,3.2,0.5
442993.0,4.0,5.0,2024.0,6.0,19.0,0.0,32.0,0.0,512.0,543.0,0.0,0.0,0.0,0.0,2.0,-1.0,2.0,-2.0,2.0,2.2,0.0
415862.0,15.0,1.0,2023.0,7.0,13.0,30.0,16.0,0.0,718.0,676.0,1.0,2.0,2.0,2.0,1.0,-2.0,1.0,-1.0,2.0,2.8,2.0
433644.0,29.0,6.0,2023.0,4.0,0.0,30.0,6.0,1.0,1783.0,4529.0,3.0,0.0,4.0,0.0,1.0,-1.0,1.0,-1.0,0.0,3.5,2.0
441736.0,7.0,4.0,2024.0,7.0,18.0,0.0,29.0,0.0,673.0,676.0,0.0,1.0,2.0,3.0,1.0,-4.0,1.0,-1.0,0.0,2.8,2.5
415821.0,12.0,2.0,2023.0,7.0,15.0,45.0,21.0,0.0,666.0,1919.0,3.0,0.0,3.0,0.0,4.0,-1.0,4.0,-4.0,0.0,4.0,1.5
417058.0,5.0,2.0,2023.0,7.0,14.0,0.0,22.0,0.0,510.0,543.0,0.0,0.0,0.0,2.0,0.0,-3.0,0.0,0.0,2.0,2.6,1.0
442825.0,3.0,12.0,2023.0,7.0,14.0,0.0,14.0,0.0,548.0,518.0,1.0,0.0,2.0,0.0,3.0,-2.0,3.0,-3.0,0.0,3.0,1.0
436867.0,25.0,11.0,2023.0,6.0,15.0,0.0,17.0,0.0,332.0,345.0,1.0,1.0,2.0,1.0,2.0,-2.0,2.0,-2.0,1.0,2.6,1.5
418691.0,18.0,2.0,2023.0,6.0,19.0,45.0,23.0,0.0,108.0,115.0,1.0,1.0,3.0,1.0,4.0,-1.0,4.0,-4.0,0.0,3.6,2.0
330310.0,20.0,2.0,2022.0,7.0,14.0,0.0,25.0,0.0,529.0,531.0,2.0,1.0,4.0,1.0,3.0,0.0,3.0,-3.0,2.0,3.4,2.5
333411.0,21.0,5.0,2022.0,6.0,15.0,15.0,38.0,0.0,107.0,103.0,0.0,0.0,0.0,1.0,2.0,-1.0,2.0,-2.0,2.0,2.2,0.5
329514.0,13.0,2.0,2022.0,7.0,16.0,30.0,22.0,0.0,2.0,38.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,-2.0,3.0,1.2,1.0
435958.0,19.0,8.0,2023.0,6.0,19.0,0.0,2.0,0.0,65.0,67.0,1.0,0.0,1.0,0.0,4.0,-1.0,4.0,-4.0,0.0,2.2,0.5
422622.0,28.0,1.0,2023.0,6.0,15.0,0.0,5.0,0.0,1076.0,394.0,0.0,0.0,2.0,0.0,3.0,-1.0,3.0,-3.0,1.0,3.0,1.0
433653.0,20.0,4.0,2023.0,4.0,0.0,30.0,2.0,1.0,1783.0,9362.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,-1.0,1.0,2.0,1.0
418713.0,4.0,2.0,2023.0,6.0,14.0,0.0,21.0,0.0,457.0,5890.0,0.0,0.0,0.0,2.0,1.0,-3.0,1.0,-1.0,1.0,2.6,1.0
327074.0,13.0,3.0,2022.0,7.0,14.0,0.0,29.0,0.0,340.0,346.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,-2.0,2.0,3.0,1.5
333762.0,13.0,9.0,2021.0,1.0,18.0,45.0,3.0,0.0,103.0,450.0,0.0,0.0,1.0,0.0,2.0,-1.0,2.0,-2.0,2.0,1.8,0.5
325518.0,23.0,4.0,2022.0,6.0,14.0,30.0,30.0,0.0,1915.0,678.0,0.0,0.0,0.0,1.0,0.0,-3.0,0.0,0.0,2.0,2.2,0.5
391980.0,6.0,4.0,2022.0,3.0,22.0,0.0,1.0,1.0,4286.0,7055.0,1.0,0.0,2.0,0.0,1.0,-1.0,1.0,-1.0,0.0,2.5,1.0
416458.0,8.0,4.0,2023.0,6.0,13.0,30.0,27.0,0.0,16.0,1.0,1.0,2.0,1.0,3.0,0.0,-3.0,0.0,0.0,2.0,3.6,2.0
441994.0,24.0,2.0,2024.0,6.0,14.0,30.0,23.0,0.0,28.0,44.0,2.0,1.0,2.0,2.0,1.0,-2.0,1.0,-1.0,2.0,2.4,2.0
436704.0,19.0,8.0,2023.0,6.0,14.0,0.0,3.0,0.0,338.0,715.0,1.0,1.0,2.0,1.0,3.0,-2.0,3.0,-3.0,0.0,4.0,1.5
418571.0,14.0,5.0,2023.0,7.0,10.0,30.0,35.0,0.0,450.0,586.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,2.0,1.4,0.5
443002.0,10.0,5.0,2024.0,5.0,19.0,0.0,33.0,0.0,512.0,547.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,4.0,1.8,1.0
