day,month,year,weekday,hour,minute,matchday,leagueId,homeId,awayId,agHomeWins,agDraws,agAwayWins,avgGoals,target
18.0,5.0,2024.0,6.0,13.0,30.0,34.0,2002.0,3.0,16.0,3.0,0.0,2.0,2.8,1.0
18.0,5.0,2024.0,6.0,13.0,30.0,34.0,2002.0,10.0,18.0,3.0,0.0,2.0,4.0,1.0
18.0,5.0,2024.0,6.0,13.0,30.0,34.0,2002.0,2.0,5.0,1.0,2.0,2.0,3.0,1.0
18.0,5.0,2024.0,6.0,13.0,30.0,34.0,2002.0,12.0,36.0,4.0,1.0,0.0,3.4,1.0
18.0,5.0,2024.0,6.0,13.0,30.0,34.0,2002.0,28.0,17.0,3.0,1.0,1.0,3.8,1.0
18.0,5.0,2024.0,6.0,13.0,30.0,34.0,2002.0,4.0,55.0,4.0,0.0,1.0,3.6,1.0
18.0,5.0,2024.0,6.0,16.0,0.0,37.0,2019.0,5890.0,102.0,2.0,0.0,3.0,3.6,0.0
18.0,5.0,2024.0,6.0,18.0,45.0,37.0,2019.0,586.0,98.0,3.0,0.0,2.0,2.8,1.0
19.0,5.0,2024.0,7.0,12.0,30.0,34.0,2003.0,1919.0,718.0,1.0,0.0,4.0,4.0,0.0
19.0,5.0,2024.0,7.0,12.0,30.0,34.0,2003.0,1911.0,1915.0,2.0,1.0,2.0,2.8,0.0
19.0,5.0,2024.0,7.0,12.0,30.0,34.0,2003.0,684.0,666.0,1.0,0.0,4.0,2.6,0.0
19.0,5.0,2024.0,7.0,12.0,30.0,34.0,2003.0,6806.0,673.0,3.0,2.0,0.0,2.6,1.0
19.0,5.0,2024.0,7.0,12.0,30.0,34.0,2003.0,675.0,670.0,4.0,0.0,1.0,4.2,1.0
19.0,5.0,2024.0,7.0,15.0,0.0,38.0,2021.0,389.0,63.0,0.0,2.0,3.0,4.4,0.0
19.0,5.0,2024.0,7.0,15.0,0.0,38.0,2021.0,328.0,351.0,2.0,1.0,2.0,2.0,0.0
19.0,5.0,2024.0,7.0,15.0,0.0,38.0,2021.0,356.0,73.0,1.0,0.0,4.0,3.0,0.0
19.0,5.0,2024.0,7.0,15.0,0.0,38.0,2021.0,354.0,58.0,2.0,1.0,2.0,3.2,1.0
19.0,5.0,2024.0,7.0,15.0,0.0,38.0,2021.0,57.0,62.0,4.0,0.0,1.0,3.0,1.0
19.0,5.0,2024.0,7.0,15.0,0.0,38.0,2021.0,397.0,66.0,3.0,0.0,2.0,4.6,0.0
19.0,5.0,2024.0,7.0,15.0,0.0,38.0,2021.0,65.0,563.0,4.0,1.0,0.0,3.4,1.0
19.0,5.0,2024.0,7.0,15.0,0.0,38.0,2021.0,61.0,1044.0,3.0,2.0,0.0,2.6,1.0
19.0,5.0,2024.0,7.0,15.0,0.0,38.0,2021.0,64.0,76.0,4.0,0.0,1.0,2.4,1.0
19.0,5.0,2024.0,7.0,18.0,45.0,37.0,2019.0,100.0,107.0,3.0,1.0,1.0,1.8,1.0
19.0,5.0,2024.0,7.0,19.0,0.0,34.0,2015.0,545.0,524.0,0.0,0.0,5.0,3.6,0.0
19.0,5.0,2024.0,7.0,19.0,0.0,34.0,2015.0,523.0,576.0,2.0,1.0,2.0,2.8,1.0
19.0,5.0,2024.0,7.0,19.0,0.0,34.0,2015.0,548.0,543.0,2.0,3.0,0.0,3.8,1.0
19.0,5.0,2024.0,7.0,19.0,0.0,34.0,2015.0,525.0,541.0,3.0,0.0,2.0,2.6,1.0
19.0,5.0,2024.0,7.0,19.0,0.0,34.0,2015.0,547.0,529.0,2.0,0.0,3.0,3.8,1.0
19.0,5.0,2024.0,7.0,19.0,0.0,34.0,2015.0,511.0,512.0,0.0,2.0,3.0,3.6,0.0
19.0,5.0,2024.0,7.0,19.0,0.0,34.0,2015.0,533.0,516.0,0.0,0.0,5.0,2.2,0.0
20.0,5.0,2024.0,1.0,16.0,30.0,37.0,2019.0,455.0,450.0,3.0,0.0,2.0,2.2,0.0
2.0,5.0,2024.0,4.0,18.0,30.0,26.0,2021.0,61.0,73.0,3.0,1.0,1.0,3.0,1.0
3.0,5.0,2024.0,5.0,17.0,0.0,32.0,2015.0,511.0,518.0,2.0,0.0,3.0,3.6,0.0
3.0,5.0,2024.0,5.0,19.0,0.0,32.0,2015.0,546.0,525.0,3.0,1.0,1.0,3.0,1.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,2016.0,71.0,345.0,2.0,0.0,3.0,3.0,0.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,2016.0,70.0,387.0,3.0,0.0,2.0,3.2,1.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,2016.0,341.0,340.0,1.0,2.0,2.0,2.8,0.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,2016.0,332.0,68.0,1.0,0.0,4.0,4.0,1.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,2016.0,1138.0,322.0,2.0,1.0,2.0,2.4,1.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,2016.0,343.0,346.0,3.0,1.0,1.0,3.2,1.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,2016.0,72.0,384.0,2.0,1.0,2.0,2.4,0.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,2016.0,349.0,394.0,4.0,1.0,0.0,2.2,1.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,2016.0,74.0,1081.0,3.0,0.0,2.0,2.4,1.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,2016.0,338.0,59.0,1.0,0.0,4.0,2.4,0.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,2016.0,1076.0,69.0,3.0,0.0,2.0,3.0,0.0
4.0,5.0,2024.0,6.0,11.0,30.0,36.0,2021.0,57.0,1044.0,5.0,0.0,0.0,3.6,1.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,2016.0,385.0,715.0,1.0,1.0,3.0,3.0,1.0
4.0,5.0,2024.0,6.0,13.0,0.0,32.0,2015.0,533.0,576.0,1.0,1.0,3.0,2.4,1.0
4.0,5.0,2024.0,6.0,13.0,30.0,32.0,2002.0,11.0,55.0,3.0,1.0,1.0,2.2,1.0
4.0,5.0,2024.0,6.0,13.0,30.0,32.0,2002.0,4.0,16.0,3.0,2.0,0.0,4.0,1.0
4.0,5.0,2024.0,6.0,13.0,30.0,32.0,2002.0,10.0,5.0,1.0,2.0,2.0,3.6,1.0
4.0,5.0,2024.0,6.0,14.0,0.0,36.0,2021.0,328.0,67.0,1.0,0.0,4.0,3.6,0.0
4.0,5.0,2024.0,6.0,14.0,0.0,36.0,2021.0,356.0,351.0,0.0,1.0,4.0,4.0,0.0
4.0,5.0,2024.0,6.0,15.0,0.0,32.0,2015.0,548.0,541.0,4.0,1.0,0.0,3.8,1.0
4.0,5.0,2024.0,6.0,16.0,30.0,36.0,2021.0,65.0,76.0,4.0,0.0,1.0,4.2,1.0
4.0,5.0,2024.0,6.0,17.0,0.0,32.0,2015.0,545.0,529.0,0.0,0.0,5.0,5.0,0.0
4.0,5.0,2024.0,6.0,18.0,45.0,35.0,2019.0,471.0,108.0,3.0,0.0,2.0,3.0,1.0
5.0,5.0,2024.0,7.0,10.0,15.0,32.0,2003.0,674.0,6806.0,4.0,1.0,0.0,2.8,1.0
5.0,5.0,2024.0,7.0,10.0,15.0,32.0,2003.0,671.0,683.0,2.0,0.0,3.0,2.8,0.0
5.0,5.0,2024.0,7.0,12.0,30.0,32.0,2003.0,676.0,679.0,2.0,2.0,1.0,1.2,1.0
5.0,5.0,2024.0,7.0,13.0,30.0,32.0,2002.0,28.0,36.0,1.0,1.0,3.0,4.0,0.0
5.0,5.0,2024.0,7.0,14.0,45.0,32.0,2003.0,682.0,666.0,1.0,1.0,3.0,2.4,1.0
5.0,5.0,2024.0,7.0,15.0,30.0,32.0,2002.0,19.0,3.0,1.0,0.0,4.0,4.2,0.0
5.0,5.0,2024.0,7.0,15.0,30.0,36.0,2021.0,64.0,73.0,3.0,1.0,1.0,4.2,1.0
5.0,5.0,2024.0,7.0,18.0,0.0,32.0,2003.0,675.0,684.0,5.0,0.0,0.0,3.6,1.0
6.0,5.0,2024.0,1.0,16.0,0.0,35.0,2019.0,455.0,102.0,1.0,1.0,3.0,4.2,0.0
6.0,5.0,2024.0,1.0,18.0,0.0,32.0,2003.0,670.0,1915.0,2.0,1.0,2.0,3.6,0.0
6.0,5.0,2024.0,1.0,19.0,0.0,32.0,2015.0,521.0,523.0,2.0,1.0,2.0,3.4,0.0
6.0,5.0,2024.0,1.0,19.0,0.0,36.0,2021.0,354.0,66.0,2.0,1.0,2.0,2.6,1.0
7.0,5.0,2024.0,2.0,22.0,0.0,4.0,2152.0,5167.0,5184.0,0.0,0.0,2.0,3.0,0.0
7.0,5.0,2024.0,2.0,22.0,0.0,4.0,2152.0,2070.0,1766.0,0.0,0.0,2.0,2.0,0.0
8.0,5.0,2024.0,3.0,0.0,0.0,4.0,2152.0,4460.0,1783.0,1.0,0.0,1.0,1.5,1.0
8.0,5.0,2024.0,3.0,22.0,0.0,4.0,2152.0,2073.0,4520.0,1.0,1.0,0.0,4.0,1.0
9.0,5.0,2024.0,4.0,0.0,30.0,4.0,2152.0,1770.0,4528.0,1.0,0.0,1.0,2.0,1.0
9.0,5.0,2024.0,4.0,0.0,30.0,4.0,2152.0,7913.0,1776.0,0.0,0.0,2.0,3.0,0.0
9.0,5.0,2024.0,4.0,22.0,0.0,4.0,2152.0,7118.0,1769.0,0.0,0.0,2.0,4.5,0.0
9.0,5.0,2024.0,4.0,22.0,0.0,4.0,2152.0,2071.0,6989.0,1.0,0.0,1.0,2.0,1.0
10.0,5.0,2024.0,5.0,0.0,0.0,4.0,2152.0,4410.0,1765.0,0.0,0.0,2.0,2.0,0.0
10.0,5.0,2024.0,5.0,0.0,0.0,4.0,2152.0,4267.0,2051.0,1.0,0.0,1.0,2.0,1.0
10.0,5.0,2024.0,5.0,18.0,30.0,33.0,2002.0,16.0,10.0,0.0,1.0,4.0,2.8,0.0
10.0,5.0,2024.0,5.0,18.0,45.0,36.0,2019.0,470.0,108.0,0.0,0.0,5.0,3.0,0.0
10.0,5.0,2024.0,5.0,19.0,0.0,33.0,2015.0,522.0,533.0,1.0,1.0,3.0,1.8,1.0
11.0,5.0,2024.0,6.0,11.0,30.0,37.0,2021.0,63.0,65.0,0.0,0.0,5.0,4.2,0.0
11.0,5.0,2024.0,6.0,13.0,30.0,33.0,2002.0,1.0,28.0,1.0,1.0,3.0,1.8,1.0
11.0,5.0,2024.0,6.0,14.0,0.0,37.0,2021.0,1044.0,402.0,0.0,2.0,3.0,2.0,0.0
11.0,5.0,2024.0,6.0,14.0,0.0,37.0,2021.0,563.0,389.0,3.0,1.0,1.0,2.6,1.0
11.0,5.0,2024.0,6.0,14.0,0.0,37.0,2021.0,76.0,354.0,1.0,0.0,4.0,3.2,0.0
