HomeTeam,AwayTeam,AvgH,AvgD,AvgA,DayOfWeek,DayOfYear,HourOfDay,MinuteOfHour,target
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,2.26,3.22,3.46,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,1.85,3.56,4.14,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,8.4,5.37,1.36,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,2.32,3.45,2.91,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,1.48,4.39,6.76,0,42,15,00,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,3.33,3.55,2.19,0,42,12,30,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,1.51,4.18,6.59,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.81,3.44,2.39,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,2.1,3.4,3.41,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,1.3,5.29,9.95,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
63,64,2.1,3.34,3.47,0,42,15,00,1
11,9,2.92,3.41,2.38,1,43,19,45,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,2.03,3.45,3.7,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,3.3,3.45,2.17,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
7,9,2.01,3.32,3.78,4,67,15,00,1
